"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error"
"Total population","333,287,562","*****","(X)","(X)","165,228,214","±33,974","(X)","(X)","168,059,348","±33,976","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","18,358,199","±18,313","5.5%","±0.1","9,394,890","±17,175","5.7%","±0.1","8,963,309","±16,776","5.3%","±0.1"
"        5 to 9 years","19,770,314","±74,288","5.9%","±0.1","10,110,917","±44,770","6.1%","±0.1","9,659,397","±50,753","5.7%","±0.1"
"        10 to 14 years","21,220,214","±73,259","6.4%","±0.1","10,892,415","±44,625","6.6%","±0.1","10,327,799","±50,648","6.1%","±0.1"
"        15 to 19 years","21,785,658","±36,858","6.5%","±0.1","11,167,522","±29,157","6.8%","±0.1","10,618,136","±27,752","6.3%","±0.1"
"        20 to 24 years","22,446,040","±36,578","6.7%","±0.1","11,488,577","±25,511","7.0%","±0.1","10,957,463","±23,972","6.5%","±0.1"
"        25 to 29 years","22,007,628","±35,988","6.6%","±0.1","11,245,260","±22,926","6.8%","±0.1","10,762,368","±22,118","6.4%","±0.1"
"        30 to 34 years","23,225,636","±27,473","7.0%","±0.1","11,785,090","±18,217","7.1%","±0.1","11,440,546","±18,915","6.8%","±0.1"
"        35 to 39 years","22,335,859","±71,580","6.7%","±0.1","11,322,522","±46,238","6.9%","±0.1","11,013,337","±44,732","6.6%","±0.1"
"        40 to 44 years","21,711,785","±64,053","6.5%","±0.1","10,939,843","±43,458","6.6%","±0.1","10,771,942","±42,627","6.4%","±0.1"
"        45 to 49 years","19,640,925","±22,570","5.9%","±0.1","9,853,198","±19,288","6.0%","±0.1","9,787,727","±14,299","5.8%","±0.1"
"        50 to 54 years","20,835,521","±24,037","6.3%","±0.1","10,447,394","±17,510","6.3%","±0.1","10,388,127","±15,537","6.2%","±0.1"
"        55 to 59 years","20,553,615","±65,466","6.2%","±0.1","10,163,454","±41,061","6.2%","±0.1","10,390,161","±41,393","6.2%","±0.1"
"        60 to 64 years","21,573,853","±65,896","6.5%","±0.1","10,492,488","±39,776","6.4%","±0.1","11,081,365","±42,138","6.6%","±0.1"
"        65 to 69 years","18,559,497","±48,925","5.6%","±0.1","8,798,968","±28,988","5.3%","±0.1","9,760,529","±33,797","5.8%","±0.1"
"        70 to 74 years","15,338,575","±47,915","4.6%","±0.1","7,149,850","±29,313","4.3%","±0.1","8,188,725","±31,650","4.9%","±0.1"
"        75 to 79 years","11,005,461","±38,819","3.3%","±0.1","4,901,587","±27,680","3.0%","±0.1","6,103,874","±28,196","3.6%","±0.1"
"        80 to 84 years","6,758,839","±37,355","2.0%","±0.1","2,861,152","±22,549","1.7%","±0.1","3,897,687","±29,430","2.3%","±0.1"
"        85 years and over","6,159,943","±36,366","1.8%","±0.1","2,213,087","±21,772","1.3%","±0.1","3,946,856","±26,394","2.3%","±0.1"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
